Analog Input 13215,Object name,0454_FVV-11-03:AUX TEMP,,
Analog Input 13215,Present value,54.5,,
Analog Input 13215,Units,degrees fahrenheit,,
Analog Input 13235,Object name,0454_FVV-11-03:AIR VOLUME,,
Analog Input 13235,Present value,416,,
Analog Input 13235,Units,,,
Analog Input 13304,Object name,0454_FVV-11-09:ROOM TEMP,,
Analog Input 13304,Present value,71.75,,
Analog Input 13304,Units,degrees fahrenheit,,
Analog Input 13313,Object name,0454_FVV-11-09:RM STPT DIAL,,
Analog Input 13313,Present value,54.25,,
Analog Input 13313,Units,degrees fahrenheit,,
Analog Input 13315,Object name,0454_FVV-11-09:AUX TEMP,,
Analog Input 13315,Present value,54,,
Analog Input 13315,Units,degrees fahrenheit,,
Analog Input 13335,Object name,0454_FVV-11-09:AIR VOLUME,,
Analog Input 13335,Present value,1028,,
Analog Input 13335,Units,,,
Analog Input 13404,Object name,0454_FVV-11-06:ROOM TEMP,,
Analog Input 13404,Present value,71.25,,
Analog Input 13404,Units,degrees fahrenheit,,
Analog Input 13413,Object name,0454_FVV-11-06:RM STPT DIAL,,
Analog Input 13413,Present value,55,,
Analog Input 13413,Units,degrees fahrenheit,,
Analog Input 13415,Object name,0454_FVV-11-06:AUX TEMP,,
Analog Input 13415,Present value,55,,
Analog Input 13415,Units,degrees fahrenheit,,
Analog Input 13435,Object name,0454_FVV-11-06:AIR VOLUME,,
Analog Input 13435,Present value,400,,
Analog Input 13435,Units,,,
Analog Input 13504,Object name,0454_FVV-11-08:ROOM TEMP,,
Analog Input 13504,Present value,72,,
Analog Input 13504,Units,degrees fahrenheit,,
Analog Input 13513,Object name,0454_FVV-11-08:RM STPT DIAL,,
Analog Input 13513,Present value,56.25,,
Analog Input 13513,Units,degrees fahrenheit,,
Analog Input 13515,Object name,0454_FVV-11-08:AUX TEMP,,
Analog Input 13515,Present value,55,,
Analog Input 13515,Units,degrees fahrenheit,,
Analog Input 13535,Object name,0454_FVV-11-08:AIR VOLUME,,
